PRODUCT_NC,04
30021300,"Immunological products, unmixed, not put up in measured doses or in forms or packings for retail sale"
30021500,"Immunological products, put up in measured doses or in forms or packings for retail sale"
30029090,"Toxins and similar products, e.g. plasmodia (excl. vaccines and cultures of microorganisms)"
30029090,"Toxins and similar products, e.g. plasmodia (excl. vaccines and cultures of micro-organisms)"
30039000,"Medicaments consisting of two or more constituents mixed together for therapeutic or prophylactic uses, not in measured doses or put up for retail sale (excl. antibiotics containing hormones or steroids used as hormones, but not containing antibiotics, alkaloids or derivatives thereof, hormones or antibiotics or goods of heading 3002, 3005 or 3006)"
30039000,"Medicaments consisting of two or more constituents mixed together for therapeutic or prophylactic uses, not in measured doses or put up for retail sale (excl. antibiotics containing hormones or steroids used as hormones, but not containing antibiotics, alkaloids or derivatives thereof, hormones, antibiotics, antimalarial active principles or goods of heading 3002, 3005 or 3006)"
30049000,"Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic purposes, put up in measured doses ""incl. those in the form of transdermal administration"" or in forms or packings for retail sale (excl. medicaments containing antibiotics, medicaments containing hormones or steroids used as hormones, but not containing antibiotics, medicaments containing alkaloids or derivatives thereof but not containing hormones or antibiotics and medicaments containing  provitamins, vitamins or derivatives thereof used as vitamins)"
30049000,"Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic purposes, put up in measured doses ""incl. those for transdermal administration"" or in forms or packings for retail sale (excl. containing antibiotics, hormones or steroids used as hormones, alkaloids, provitamins, vitamins, their derivatives or antimalarial active principles)"
30051000,"Adhesive dressings and other articles having an adhesive layer, impregnated or covered with pharmaceutical substances or put up for retail sale for medical, surgical, dental or veterinary purposes"
30059010,"Wadding and articles of wadding, impregnated or coated with pharmaceutical substances or put up in forms or packings for retail sale for medical, surgical, dental or veterinary purposes"
30059031,"Gauze and articles of gauze, impregnated or covered with pharmaceutical substances or put up for retail sale for medical, surgical, dental or veterinary purposes"
30059099,"Bandages and similar articles impregnated or covered with pharmaceutical substances or put up for retail sale for medical, surgical, dental or veterinary purposes (excl. those of textile materials, adhesive dressings and other articles having an adhesive layer)"
30067000,Gel preparations designed to be used  in human or veterinary medicine as a lubricant for parts of the body for surgical operations or physical examinations or as a coupling agent between the body and medical instruments
22071000,"Undenatured ethyl alcohol, of actual alcoholic strength of >= 80%"
22072000,Denatured ethyl alcohol and other spirits of any strength
22089091,"Undenatured ethyl alcohol, of an alcoholic strength of < 80% vol, in containers holding <= 2 l"
22089099,"Undenatured ethyl alcohol, of an alcoholic strength of < 80% vol, in containers holding > 2 l"
28044000,Oxygen
28470000,"Hydrogen peroxide, whether or not solidified with urea"
29051200,"Propan-1-ol ""propyl alcohol"" and propan-2-ol ""isopropyl alcohol"""
29151100,Formic acid
29151200,Salts of formic acid
29182100,Salicylic acid and its salts
29182100,Salicylic acid and its salts (excl. inorganic or organic compounds of mercury)
34011100,"Soap and organic surface-active products and preparations, in the form of bars, cakes, moulded pieces or shapes, and paper, wadding, felt and nonwovens, impregnated, coated or covered with soap or detergent, for toilet use, incl. medicated products"
34011900,"Soap and organic surface-active products and preparations, in the form of bars, cakes, moulded pieces or shapes, and paper, wadding, felt and nonwovens, impregnated, coated or covered with soap or detergent (excl. those for toilet use, incl. medicated products)"
34012010,"Soap in the form of flakes, granules or powders"
34012090,"Soap in paste form ""soft soap"" or in aqueous solution ""liquid soap"""
34013000,"Organic surface-active products and preparations for washing the skin, in the form of liquid or cream and put up for retail sale, whether or not containing soap"
34021200,"Cationic organic surface-active agents, whether or not put up for retail sale (excl. soap)"
37011000,"Photographic plates and film in the flat, sensitised, unexposed, for X-ray (excl. of paper, paperboard and textiles)"
37021000,"Photographic film in rolls, unexposed, for X-ray (excl. of paper, paperboard or textiles)"
38089410,"Disinfectants, based on quaternary ammonium salts, put up for retail sale or as preparations or articles (excl. goods of subheading 3808.50)"
38089410,"Disinfectants, based on quaternary ammonium salts, put up for retail sale or as preparations or articles (excl. goods of subheading 3808.59)"
38089420,"Disinfectants, based on halogenated compounds, put up for retail sale or as preparations or articles (excl. goods of subheading 3808.50)"
38089420,"Disinfectants, based on halogenated compounds, put up for retail sale or as preparations or articles (excl. goods of subheading 3808.59)"
38089490,"Disinfectants, put up for retail sale or as preparations or articles (excl. such products based on quaternary ammonium salts or halogenated compounds and goods of subheading 3808.50)"
38089490,"Disinfectants, put up for retail sale or as preparations or articles (excl. such products based on quaternary ammonium salts or halogenated compounds, and goods of subheading 3808.59)"
38210000,Culture media specially prepared for the development of micro-organisms
38210000,"Prepared culture media for the development or maintenance of micro-organisms ""incl. viruses and the like"" or of plant, human or animal cells"
38220000,"Composite diagnostic or laboratory reagents (excl. composite diagnostic reagents for administration to patients, reagents for determining blood groups and blood factors, animal blood for diagnostic purposes and vaccines, toxins, cultures of microorganisms and similar products)"
38220000,"Diagnostic or laboratory reagents on a backing and prepared diagnostic or laboratory reagents whether or not on a backing (excl. compound diagnostic reagents designed to be administered to the patient, blood-grouping reagents, animal blood prepared for therapeutic, prophylactic or diagnostic uses and vaccines, toxins, cultures of micro-organisms and similar products)"
38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 3002 or 3006; certified reference materials"
39172900,"Rigid tubes, pipes and hoses, of plastics (excl. those of polymers of ethylene, propylene and vinyl chloride)"
39173100,"Flexible tubes, pipes and hoses, of plastics, burst pressure >= 27,6 MPa"
39173200,"Flexible tubes, pipes and hoses of plastics, not reinforced or otherwise combined with other materials, without fittings"
39173300,"Flexible tubes, pipes and hoses of plastics, not reinforced or otherwise combined with other materials, with fittings, seals or connectors"
39173900,"Flexible tubes, pipes and hoses, of plastics, reinforced or otherwise combined with other materials (excl. those with a burst pressure of >= 27,6 MPa)"
39262000,"Articles of apparel and clothing accessories produced by the stitching or sticking together of plastic sheeting, incl. gloves, mittens and mitts"
39262000,"Articles of apparel and clothing accessories produced by the stitching or sticking together of plastic sheeting, incl. gloves, mittens and mitts (excl. goods of 9619)"
39269097,"Articles of plastics and articles of other materials of heading 3901 to 3914, n.e.s."
40149000,"Hygienic or pharmaceutical articles, incl. teats, of vulcanised rubber (excl. hard rubber), with or without fittings of hard rubber, n.e.s. (excl. sheath contraceptives and articles of apparel and clothing accessories, incl. gloves, for all purposes)"
40151100,"Surgical gloves, of vulcanised rubber other than hard rubber (excl. fingerstalls)"
40151100,"Surgical gloves, of vulcanised rubber (excl. fingerstalls)"
40151900,"Gloves, mittens and mitts, of vulcanised rubber (excl. surgical gloves)"
40159000,"Articles of apparel and clothing accessories, for all purposes, of vulcanised rubber (excl. hard rubber and footwear and headgear and parts thereof, and gloves, mittens and mitts)"
48185000,"Articles of apparel and clothing accessories, of paper pulp, paper, cellulose wadding or webs of cellulose fibres (excl. footware and parts thereof, incl. insoles, heel pieces and similar removable products, gaiters and similar products, headgear and parts thereof)"
48189010,"Articles of paper pulp, paper, cellulose wadding or webs of cellulose fibre of a kind used for surgical, medical or hygienic purposes (excl. toilet paper, handkerchiefs, cleansing or facial tissues and towels, tablecloths, serviettes, sanitary towels and tampons, napkins and napkin liners for babies and similar sanitary articles, and goods put up for retail sale)"
48189090,"Paper, cellulose wadding or webs of cellulose fibres, of a kind used for household or sanitary purposes, in rolls of a width <= 36 cm, or cut to size or shape; articles of paper pulp, paper, cellulose wadding or webs of cellulose fibres for household, sanitary or hospital use (excl. toilet paper, handkerchiefs, cleansing or facial tissues and towels, tablecloths, serviettes, sanitary towels and tampons, napkins and napkin liners for babies and similar sanitary articles, and articles of a kind used for surgical, medical or hygienic purposes not put up for retail sale)"
56031110,"Nonwovens, coated or covered, n.e.s., of man-made filaments, weighing <= 25 g/m²"
56039490,"Nonwovens, whether or not impregnated or laminated, n.e.s., weighing > than 150 g/m² (excl. coated or covered or of man-made filaments)"
61161020,"Gloves, impregnated, coated or covered with rubber, knitted or crocheted"
62101010,"Garments made up of felt, whether or not impregnated, coated, covered or laminated (excl. babies' garments and clothing accessories)"
62101092,"Single-use gowns made up of nonwovens, of a kind used by patients or surgeons during surgical procedures"
62101098,"Garments made up of nonwovens, whether or not impregnated, coated, covered or laminated (excl. babies' garments, clothing accessories, and single-use gowns used during surgical procedures)"
62102000,"Garments of the type described in subheading 6201,11 to 6201,19, rubberised or impregnated, coated, covered or laminated with plastics or other substances"
62103000,"Garments of the type described in subheading 6202,11 to 6202,19, rubberised or impregnated, coated, covered or laminated with plastics or other substances"
62104000,"Men's or boys' garments of textile fabrics, rubberised or impregnated, coated, covered or laminated with plastics or other substances (excl. of the type described in subheading 6201,11 to 6201,19, and babies' garments and clothing accessories)"
62105000,"Women's or girls' garments of textile fabrics, rubberised or impregnated, coated, covered or laminated with plastics or other substances (excl. of the type described in subheading 6202,11 to 6202,19, and babies' garments and clothing accessories)"
62113210,Men's or boys' industrial and occupational clothing of cotton (excl. knitted or crocheted)
62113290,"Men's or boys' garments, of cotton, n.e.s. (not knitted or crocheted)"
62113310,Men's or boys' industrial and occupational clothing of man-made fibres (excl. knitted or crocheted)
62113390,"Men's or boys' garments, of man-made fibres, n.e.s. (not knitted or crocheted)"
62113900,"Men's or boys' tracksuits and other garments, n.e.s. of textile materials (excl. of wool, fine animal hair, cotton or man-made fibres, knitted or crocheted)"
62113900,"Men's or boys' tracksuits and other garments, n.e.s. of textile materials (excl. of cotton or man-made fibres, knitted or crocheted)"
62160000,"Gloves, mittens and mitts, of all types of textile materials (excl. knitted or crocheted and for babies)"
63079092,Single-use drapes used during surgical procedures made up of nonwovens
65050030,"Peaked caps and the like, knitted or crocheted, or made up from lace, felt or other textile fabric, in the piece (but not in strips), whether or not lined or trimmed (excl. toy and carnival headgear)"
65050090,"Hats and other headgear, knitted or crocheted, or made up from lace, felt or other textile fabric, in the piece (but not in strips), whether or not lined or trimmed (excl. of fur felt or of felt of wool and fur, peaked caps, headgear for animals or headgear having the character of toys or festive articles)"
65061010,"Safety headgear of plastics, whether or not lined or trimmed"
65061080,"Safety headgear, whether or not lined or trimmed (other than of plastics)"
65069100,"Bathing caps, hoods and other headgear, whether or not lined or trimmed, of rubber or plastics (other than safety headgear and headgear having the character of toys or festive articles)"
73249000,"Sanitary ware, incl. parts thereof (excl. cans, boxes and similar containers of heading 7310, small wall cabinets for medical supplies or toiletries and other furniture of chapter 94, and fittings, complete sinks and washbasins, of stainless steel, complete baths and fittings)"
76130000,Aluminium containers for compressed or liquefied gas
84138100,"Pumps for liquids, power-driven (excl. those of subheading 8413.11 and 8413.19, fuel, lubricating or cooling medium pumps for internal combustion piston engine, concrete pumps, general reciprocating or rotary positive displacement pumps and centrifugal pumps of all kinds)"
84192000,"Medical, surgical or laboratory sterilizers"
84798997,"Machines, apparatus and mechanical appliances, n.e.s."
85098000,"Electro-mechanical appliances with self-contained electric motor (excl. vacuum cleaners, floor polishers, kitchen waste disposers, food grinders and mixers, and fruit or vegetable juice extractors)"
85098000,"Electromechanical household appliances, with self-contained electric motor (excl. vacuum cleaners, dry and wet vacuum cleaners, floor polishers, kitchen waste disposers, food grinders and mixers, fruit or vegetable juice extractors, and hair-removing appliances)"
85098000,"Electromechanical domestic appliances, with self-contained electric motor (excl. vacuum cleaners, dry and wet vacuum cleaners, food grinders and mixers, fruit or vegetable juice extractors, and hair-removing appliances)"
85285291,LCD monitors designed for computer use but of a kind not used principally with a computer (excl. with TV receiver)
85285299,"Monitors designed for computer use but of a kind not used principally with a computer (excl. CRT, LCD, with TV receiver)"
85285900,"Monitors (excl. with TV receiver, CRT and those designed for computer use)"
85394900,Ultraviolet or infra-red lamps
85395000,"Light-emitting diode ""LED"" lamps"
85437090,"Electrical machines and apparatus, having individual functions, n.e.s. in chap. 85"
85437090,"Indicator panels with liquid crystal devices ""LCD"" (excl. active matrix liquid crystal devices and those of a kind used for motor vehicles, cycles or traffic signalling)"
85437090,"ELECTRICAL MACHINES AND APPARATUS, HAVING INDIVIDUAL FUNCTIONS, N.E.S. IN CHAP. 85"
90181100,Electro-cardiographs
90181200,Ultrasonic scanning apparatus
90181910,Electro-diagnostic monitoring apparatus for simultaneous monitoring of two or more physiological parameters
90181990,"Electro-diagnostic apparatus, incl. apparatus for functional exploratory examination or for checking physiological parameters (excl. electro-cardiographs, ultrasonic scanning apparatus, magnetic resonance imaging apparatus, scintigraphic apparatus and monitoring apparatus for simultaneous monitoring of two or more physiological parameters)"
90183110,"Syringes of plastic, with or without needles, used in medical, surgical, dental or veterinary sciences"
90183110,"Syringes of plastics, with or without needles, used in medical, surgical, dental or veterinary sciences"
90183190,"Syringes, with or without needles, used in medical, surgical, dental or veterinary sciences (excl. of plastic)"
90183210,"Tubular metal needles, used in medical, surgical, dental or veterinary sciences"
90183290,"Needles for sutures, used in medical, surgical, dental or veterinary sciences"
90183900,"Needles, catheters, cannulae and the like, used in medical, surgical, dental or veterinary sciences (excl. syringes, tubular metal needles and needles for sutures)"
90189084,"Instruments and appliances used in medical, surgical or veterinary sciences, n.e.s."
90189020,"Endoscopes used in medical, surgical or veterinary sciences"
90189050,Transfusion and infusion apparatus used in medical sciences
90189060,Anaesthetic apparatus and instruments
90221200,Computer tomography apparatus
90221400,"Apparatus based on the use of X-rays, for medical, surgical or veterinary uses (excl. for dental purposes and computer tomography apparatus)"
90268080,"Non-electronic instruments or apparatus for measuring or checking variables of liquids or gases, n.e.s."
90268020,"Electronic instruments or apparatus for measuring or checking variables of liquids or gases, n.e.s."
90282000,"Liquid meters, incl. calibrating meters therefor"
